maintenance_type_code,scope_template_name,vehicle_make,vehicle_model,activity_code,activity_description,standard_labor_hours,estimated_cost,required_parts,vendor_recommendation,sort_order
PMS-010K,Honda City 10000 KM PMS,Honda,City,OIL,Change Engine Oil,0.5,800,Engine oil 4L,Honda Genuine Parts,1
PMS-010K,Honda City 10000 KM PMS,Honda,City,FILTER,Replace Oil Filter,0.2,150,Oil filter,Honda Genuine Parts,2
PMS-010K,Honda City 10000 KM PMS,Honda,City,BRAKE,Check Brake Pads,0.3,0,,,3
PMS-010K,Honda City 10000 KM PMS,Honda,City,TIRE,Check Tire Pressure,0.1,0,,,4
PMS-010K,Honda City 10000 KM PMS,Honda,City,BATTERY,Check Battery,0.2,0,,,5
PMS-005K,Toyota Hilux 5000 KM PMS,Toyota,Hilux,OIL,Change Engine Oil,0.5,800,Engine oil 4L,Toyota Genuine Parts,1
PMS-005K,Toyota Hilux 5000 KM PMS,Toyota,Hilux,FILTER,Replace Oil Filter,0.2,150,Oil filter,Toyota Genuine Parts,2
PMS-005K,Toyota Hilux 5000 KM PMS,Toyota,Hilux,BRAKESYS,Inspect Brake System,0.3,0,,,3
PMS-005K,Toyota Hilux 5000 KM PMS,Toyota,Hilux,COOLANT,Check Coolant,0.1,0,,,4
PMS-010K,Toyota Hilux 10000 KM PMS,Toyota,Hilux,OIL,Change Engine Oil,0.5,800,Engine oil 4L,Toyota Genuine Parts,1
PMS-010K,Toyota Hilux 10000 KM PMS,Toyota,Hilux,FILTER,Replace Oil Filter,0.2,150,Oil filter,Toyota Genuine Parts,2
PMS-010K,Toyota Hilux 10000 KM PMS,Toyota,Hilux,ROTATE,Tire Rotation,0.5,0,,,3
PMS-010K,Toyota Hilux 10000 KM PMS,Toyota,Hilux,BATTERY,Battery Inspection,0.2,0,,,4
PMS-010K,Toyota Hilux 10000 KM PMS,Toyota,Hilux,SUSPENSION,Suspension Check,0.5,0,,,5
PMS-006K,Chery Tiggo 6000 KM PMS,Chery Tiggo,Tiggo 7 Pro,OIL,Change Engine Oil,0.5,800,Engine oil 4L,,1
PMS-006K,Chery Tiggo 6000 KM PMS,Chery Tiggo,Tiggo 7 Pro,FILTER,Oil Filter Replacement,0.2,150,Oil filter,,2
PMS-006K,Chery Tiggo 6000 KM PMS,Chery Tiggo,Tiggo 7 Pro,BRAKE,Brake Inspection,0.3,0,,,3
PMS-006K,Chery Tiggo 6000 KM PMS,Chery Tiggo,Tiggo 7 Pro,TIRE,Tire Inspection,0.2,0,,,4
